,sentiment,Text,Tokens,Text Length,Word Count,vander_positive,vander_negative,vsentiment,afn_score,afn_sentiment
0,1,bought vitality canned food products good quality product looks like stew processed meat smells better labrador finicky appreciates product better,"['bought', 'vitality', 'canned', 'food', 'products', 'good', 'quality', 'product', 'looks', 'like', 'stew', 'processed', 'meat', 'smells', 'better', 'labrador', 'finicky', 'appreciates', 'product', 'better']",146,20,54.50000000000001,0.0,Very Positive,16.0,very Positive
1,0,product arrived labeled jumbo salted peanuts peanuts actually small sized unsalted sure error vendor intended represent product jumbo,"['product', 'arrived', 'labeled', 'jumbo', 'salted', 'peanuts', 'peanuts', 'actually', 'small', 'sized', 'unsalted', 'sure', 'error', 'vendor', 'intended', 'represent', 'product', 'jumbo']",133,18,11.0,12.9,very Negative,-2.0,Negative
2,0,confection centuries light pillowy citrus gelatin nuts case filberts tiny squares liberally coated powdered sugar tiny mouthful heaven chewy flavorful highly recommend yummy treat familiar story lewis lion witch wardrobe treat seduces edmund selling brother sisters witch,"['confection', 'centuries', 'light', 'pillowy', 'citrus', 'gelatin', 'nuts', 'case', 'filberts', 'tiny', 'squares', 'liberally', 'coated', 'powdered', 'sugar', 'tiny', 'mouthful', 'heaven', 'chewy', 'flavorful', 'highly', 'recommend', 'yummy', 'treat', 'familiar', 'story', 'lewis', 'lion', 'witch', 'wardrobe', 'treat', 'seduces', 'edmund', 'selling', 'brother', 'sisters', 'witch']",271,37,29.799999999999997,14.099999999999998,Very Positive,4.0,very Positive
3,0,looking secret ingredient robitussin believe addition root beer extract ordered good cherry soda flavor medicinal,"['looking', 'secret', 'ingredient', 'robitussin', 'believe', 'addition', 'root', 'beer', 'extract', 'ordered', 'good', 'cherry', 'soda', 'flavor', 'medicinal']",113,15,17.2,0.0,Very Positive,3.0,very Positive
4,1,great taffy great price wide assortment yummy taffy delivery quick taffy lover deal,"['great', 'taffy', 'great', 'price', 'wide', 'assortment', 'yummy', 'taffy', 'delivery', 'quick', 'taffy', 'lover', 'deal']",83,13,63.1,0.0,Very Positive,9.0,very Positive
5,0,wild hair taffy ordered pound taffy enjoyable flavors watermelon root beer melon peppermint grape complaint black licorice flavored pieces just particular favorites kids husband lasted weeks recommend brand taffy delightful treat,"['wild', 'hair', 'taffy', 'ordered', 'pound', 'taffy', 'enjoyable', 'flavors', 'watermelon', 'root', 'beer', 'melon', 'peppermint', 'grape', 'complaint', 'black', 'licorice', 'flavored', 'pieces', 'particular', 'favorites', 'kids', 'husband', 'lasted', 'weeks', 'recommend', 'brand', 'taffy', 'delightful', 'treat']",229,31,35.099999999999994,5.3,Very Positive,7.0,very Positive
6,1,saltwater taffy great flavors soft chewy candy individually wrapped candies stuck happen expensive version fralinger highly recommend candy served beach themed party loved,"['saltwater', 'taffy', 'great', 'flavors', 'soft', 'chewy', 'candy', 'individually', 'wrapped', 'candies', 'stuck', 'happen', 'expensive', 'version', 'fralinger', 'highly', 'recommend', 'candy', 'served', 'beach', 'themed', 'party', 'loved']",171,23,40.300000000000004,6.0,Very Positive,6.0,very Positive
7,1,taffy good soft chewy flavors amazing definitely recommend buying satisfying,"['taffy', 'good', 'soft', 'chewy', 'flavors', 'amazing', 'definitely', 'recommend', 'buying', 'satisfying']",76,10,74.9,0.0,Very Positive,9.0,very Positive
8,1,right just sprouting cats grass love rotate wheatgrass,"['right', 'sprouting', 'cats', 'grass', 'love', 'rotate', 'wheatgrass']",54,8,37.5,0.0,Very Positive,3.0,very Positive
9,1,healthy food good digestion good small puppies eats required feeding,"['healthy', 'food', 'good', 'digestion', 'good', 'small', 'puppies', 'eats', 'required', 'feeding']",68,10,54.800000000000004,0.0,Very Positive,8.0,very Positive
10,1,know cactus tequila just unique combination ingredients flavour sauce makes kind picked bottle trip brought home totally blown away realized simply couldn city bummed magic internet case sauce ecstatic love sauce mean really love sauce want sauce tastelessly burns throat grab bottle tequila picante gourmet inclan just realize taste want sauce thank personal incredible service,"['know', 'cactus', 'tequila', 'unique', 'combination', 'ingredients', 'flavour', 'sauce', 'makes', 'kind', 'picked', 'bottle', 'trip', 'brought', 'home', 'totally', 'blown', 'away', 'realized', 'simply', 'city', 'bummed', 'magic', 'internet', 'case', 'sauce', 'ecstatic', 'love', 'sauce', 'mean', 'really', 'love', 'sauce', 'want', 'sauce', 'tastelessly', 'burns', 'throat', 'grab', 'bottle', 'tequila', 'picante', 'gourmet', 'inclan', 'realize', 'taste', 'want', 'sauce', 'thank', 'personal', 'incredible', 'service']",378,55,30.2,0.0,Very Positive,16.0,very Positive
